id	file	line	title
ACP-010	docs/specs/analyzer-candidate-profiles.md	124	Integration MUST require a fresh read-only exact review PASS over the precise co
ACP-011	docs/specs/analyzer-candidate-profiles.md	128	A candidate CLI MUST NOT silently analyze stdin when invoked with an unexpected
ACP-012	docs/specs/analyzer-candidate-profiles.md	142	A candidate CLI that reads its request from standard input MUST classify the two
AFP-V0-001	docs/specs/affected-plan-v0.md	31	The command MUST be read-only: one bounded `git status`, one HEAD identity read,
AFP-V0-002	docs/specs/affected-plan-v0.md	35	The dirty set MUST come from `affected.DirtyPaths` (porcelain v1, NUL-delimited,
AFP-V0-003	docs/specs/affected-plan-v0.md	43	Stdout MUST be one canonical JSON line with exactly the members `advice`
AFP-V0-004	docs/specs/affected-plan-v0.md	53	The plan is not authority. `plan.scope` MUST be `UNKNOWN` whenever `plan.unknown
AFP-V0-005	docs/specs/affected-plan-v0.md	60	For a fixed tree, HEAD, and dirty set the document MUST be byte-identical across
AFP-V0-006	docs/specs/affected-plan-v0.md	62	Failures MUST exit 2 with a typed code on stderr and no partial document:
AFP-V0-007	docs/specs/affected-plan-v0.md	68	`plan.selected` MUST be ordered by exactly three keys: (1) reverse-dependency
AFP-V0-008	docs/specs/affected-plan-v0.md	77	The Go plugin's unit universe is the root module, or, when the root holds a
AFP-V0-009	docs/specs/affected-plan-v0.md	97	(accepted 2026-09-04 by decision 0052) The receipt MUST carry an `advice` member
AFP-V0-010	docs/specs/affected-plan-v0.md	122	`corvint affected --base FULL_COMMIT_ID` (or `--base=`) MUST join the committed
AFP-V0-011	docs/specs/affected-plan-v0.md	135	`make gate-affected` (`script/gate-affected.sh [BASE]`; the Makefile's `BASE`
AFP-V0-012	docs/specs/affected-plan-v0.md	168	(decision 0131) The fast tier's selector MUST attribute every dirty path from a
AFP-V0-013	docs/specs/affected-plan-v0.md	227	(accepted by decision 0289) `tools/corvint-pr-tests` MUST execute only
AFP-V0-014	docs/specs/affected-plan-v0.md	240	(accepted by decision 0289) PR narrowing MUST require a separately trusted,
AFP-V0-015	docs/specs/affected-plan-v0.md	257	(accepted by decision 0289) The trusted PR driver SHALL support one 1-based inde
AFP-V0-016	docs/specs/affected-plan-v0.md	295	(accepted by decision 0320) `.github/workflows/ci-control-plane.yml` SHALL run
AFP-V0-017	docs/specs/affected-plan-v0.md	303	(accepted by decision 0320) `.github/workflows/pr-tests-qualification.yml`
AFP-V0-018	docs/specs/affected-plan-v0.md	311	(proposed) `corvint affected --playwright-config PATH` MUST emit the separate
AFP-V0-019	docs/specs/affected-plan-v0.md	326	(proposed technical contract implementing owner-requested issue #57)
AFP-V0-020	docs/specs/affected-plan-v0.md	352	(proposed; tickets V1-0187, V1-0204) A changed unit (one that owns a changed pat
AFU-V0-001	docs/specs/application-flow-understanding-v0.md	67	Declare the analyzed application/build, supported adapters, routes, actors, data
AFU-V0-002	docs/specs/application-flow-understanding-v0.md	70	Discover candidate flows from existing repository intent, route/navigation/form/
AFU-V0-003	docs/specs/application-flow-understanding-v0.md	73	Represent each flow's actor, preconditions, actions, expected postconditions and
AFU-V0-004	docs/specs/application-flow-understanding-v0.md	76	Map tests at the test-case and relevant assertion level. Distinguish declared li
AFU-V0-005	docs/specs/application-flow-understanding-v0.md	80	Report actionable gaps: no test found in the declared inventory, exercised witho
AFU-V0-006	docs/specs/application-flow-understanding-v0.md	84	In an explicitly started safe test session, discover available actions from the
AFU-V0-007	docs/specs/application-flow-understanding-v0.md	88	Before verification, freeze independently justified expected outcomes; compare e
AFU-V0-008	docs/specs/application-flow-understanding-v0.md	94	Bind observations to repository/tree and served build, test/assertion and config
AFU-V0-009	docs/specs/application-flow-understanding-v0.md	98	Learning is an explicit local record operation over bounded, screened artifacts.
AFU-V0-010	docs/specs/application-flow-understanding-v0.md	102	Use a separately invoked optional browser/test provider with declared action sco
AFU-V0-011	docs/specs/application-flow-understanding-v0.md	106	Source, UI text and imported artifacts are untrusted data, never execution instr
AFU-V0-012	docs/specs/application-flow-understanding-v0.md	110	Explain each flow and gap through source/assertion/run evidence, expose contradi
AGW-V0-001	docs/specs/corvint-witness-v0.md	33	`corvint witness` MUST be read-only, per AGENTS.md invariant 4: on every path —
AGW-V0-002	docs/specs/corvint-witness-v0.md	43	Committed-range ancestry MUST follow immutable commit parents. The bounded Git
AHI-001	docs/specs/agent-harness-integration-v0.md	76	Every adapter MUST consume and produce the transport-neutral Corvint request, re
AHI-002	docs/specs/agent-harness-integration-v0.md	78	Installation, discovery, upgrade, disable, and uninstall MUST be documented and
AHI-003	docs/specs/agent-harness-integration-v0.md	80	On session/task start, the adapter MUST resolve repository identity, exact Git
AHI-004	docs/specs/agent-harness-integration-v0.md	96	Query and exact expansion operations MUST be available on demand. Automatic cont
AHI-005	docs/specs/agent-harness-integration-v0.md	114	Session capture MUST record only Corvint evidence handles actually supplied or o
AHI-006	docs/specs/agent-harness-integration-v0.md	118	Before a platform declares a change task complete, its safest available stop lif
AHI-007	docs/specs/agent-harness-integration-v0.md	123	Change and merge lifecycle points MUST compute drift and re-verification against
AHI-008	docs/specs/agent-harness-integration-v0.md	125	The adapter MUST obey the host's sandbox, approval, secret, environment, telemet
AHI-009	docs/specs/agent-harness-integration-v0.md	127	Unsupported or changed host capabilities MUST fail closed for evidence capture a
AHI-010	docs/specs/agent-harness-integration-v0.md	133	Each release MUST publish tested host-version ranges, adapter and protocol versi
AHI-011	docs/specs/agent-harness-integration-v0.md	143	Native APIs MUST remain behind versioned adapters. Recognised host identifiers M
AHI-012	docs/specs/agent-harness-integration-v0.md	150	The integration MUST meet a cold query p95 of 500 ms after the Corvint index is
AHI-013	docs/specs/agent-harness-integration-v0.md	158	Default injected context MUST be smaller than the manual-search baseline at equa
AHI-014	docs/specs/agent-harness-integration-v0.md	161	Host wrappers MUST NOT send raw session IDs, transcripts, environment maps, tool
AHI-015	docs/specs/agent-harness-integration-v0.md	170	Adapter packages MUST share the lifecycle command above, and host admission MUST
AHI-016	docs/specs/agent-harness-integration-v0.md	174	A native wrapper that receives a trimmed user prompt over either task bound MAY
AHI-017	docs/specs/agent-harness-integration-v0.md	187	A native adapter that runs as a host-killed process MUST derive every Corvint de
AHI-018	docs/specs/agent-harness-integration-v0.md	205	A test harness that stands in for the host MAY state a longer host kill only thr
AHI-019	docs/specs/agent-harness-integration-v0.md	212	A Claude Code `post-tool` event whose Edit/Write/NotebookEdit target (the
AHI-020	docs/specs/agent-harness-integration-v0.md	229	Each host package's own manifest version (`integrations/claude-code/plugins/corv
AHI-021	docs/specs/agent-harness-integration-v0.md	240	The Claude Code adapter MUST NOT emit a user-visible `systemMessage` for a routi
AHI-022	docs/specs/agent-harness-integration-v0.md	272	The Gemini CLI and OpenCode adapters MUST apply the `AHI-021` split. A routine
AHI-023	docs/specs/agent-harness-integration-v0.md	302	An adapter MUST report the host version its host actually provides, and MUST NOT
AHI-024	docs/specs/agent-harness-integration-v0.md	319	The experimental Pi extension MUST use runtime-provided version `0.85.1`, adapte
AHI-025	docs/specs/agent-harness-integration-v0.md	386	The owner-requested complete Pi integration MUST expose native model-callable
AHI-026	docs/specs/agent-harness-integration-v0.md	423	The Claude Code plugin MUST register the compaction hook events the installed ho
AHI-027	docs/specs/agent-harness-integration-v0.md	433	`pre-compact` MUST emit, as plain stdout the host joins verbatim into the compac
AHI-028	docs/specs/agent-harness-integration-v0.md	441	`post-compact` MUST re-read the last pin the untrusted `compact_summary` preserv
AHI-029	docs/specs/agent-harness-integration-v0.md	452	Neither compaction event writes repository, index, trace, or store state; the on
AHI-030	docs/specs/agent-harness-integration-v0.md	454	Every compact `SessionStart` context MUST begin with a fixed trusted disclosure
ARTIFACT-GO-V0-001	docs/specs/release-artifact-integrity-v0.md	141	the archive builder MUST consume the exact clean commit, target matrix,
ARTIFACT-GO-V0-002	docs/specs/release-artifact-integrity-v0.md	146	one archive MUST be produced per manifest target. Darwin and Linux use
ARTIFACT-GO-V0-003	docs/specs/release-artifact-integrity-v0.md	152	`SHA256SUMS` MUST contain exactly one LF-terminated row for the binary,
ARTIFACT-GO-V0-004	docs/specs/release-artifact-integrity-v0.md	156	archive metadata is canonical rather than inherited. Regular-file modes are
ARTIFACT-GO-V0-005	docs/specs/release-artifact-integrity-v0.md	162	every target binary MUST be built twice with separate cold caches, and each
ARTIFACT-GO-V0-006	docs/specs/release-artifact-integrity-v0.md	166	verification MUST be offline and independent of the assembler. From archive
ARTIFACT-GO-V0-007	docs/specs/release-artifact-integrity-v0.md	171	all build and candidate output stays outside the repository. Only after every
ARTIFACT-GO-V0-008	docs/specs/release-artifact-integrity-v0.md	283	Archive checksums prove integrity only. This profile creates no signature,
ARTIFACT-GO-V0-009	docs/specs/release-artifact-integrity-v0.md	289	The untracked-path allowance of decision 0142 MUST NOT apply to the loose
ARTIFACT-RDY-V0-001	docs/specs/release-artifact-integrity-v0.md	328	`script/release-checklist` MUST be deterministic and read-only. It prints
ARTIFACT-RDY-V0-002	docs/specs/release-artifact-integrity-v0.md	351	native-runtime is owned by `GOC-V0-001`; native-performance is owned by
ARTIFACT-RDY-V0-003	docs/specs/release-artifact-integrity-v0.md	359	a tag row reports only an exact release tag already pointing at the
ARTIFACT-RDY-V0-004	docs/specs/release-artifact-integrity-v0.md	365	publication is `PASS` only with a repository-owner-approved receipt that
ARTIFACT-RDY-V0-005	docs/specs/release-artifact-integrity-v0.md	369	promotion is `PASS` only with a repository-owner acceptance record naming
ARTIFACT-RDY-V0-006	docs/specs/release-artifact-integrity-v0.md	381	the receipt is the blob at `docs/releases/<tag>/publication-receipt.json`
ARTIFACT-RDY-V0-007	docs/specs/release-artifact-integrity-v0.md	393	the release revision is the receipt's `revision`, not `HEAD`. `PASS`
ARTIFACT-RDY-V0-008	docs/specs/release-artifact-integrity-v0.md	401	every attached digest MUST be witnessed locally by the private archive
ARTIFACT-RDY-V0-009	docs/specs/release-artifact-integrity-v0.md	410	the reader is read-only and offline. It invokes only local `git`, with the
ARTIFACT-V0-001	docs/specs/release-artifact-integrity-v0.md	42	(superseded 2026-09-12 by decision 0088; obligation now carried by
ARTIFACT-V0-002	docs/specs/release-artifact-integrity-v0.md	52	(superseded 2026-09-12 by decision 0088; obligation now carried by
ARTIFACT-V0-003	docs/specs/release-artifact-integrity-v0.md	65	(superseded 2026-09-12 by decision 0088; obligation now carried by
ARTIFACT-V0-004	docs/specs/release-artifact-integrity-v0.md	71	(superseded 2026-09-12 by decision 0088; obligation now carried by
ARTIFACT-V0-005	docs/specs/release-artifact-integrity-v0.md	86	(superseded 2026-09-12 by decision 0088; obligation now carried by
ARTIFACT-V0-006	docs/specs/release-artifact-integrity-v0.md	95	(superseded 2026-09-12 by decision 0088; obligation now carried by
ARTIFACT-V0-007	docs/specs/release-artifact-integrity-v0.md	103	(superseded 2026-09-12 by decision 0088; obligation now carried by
ARTIFACT-V0-008	docs/specs/release-artifact-integrity-v0.md	116	Pull-request CI MUST grant only `contents: read`, disable persisted checkout
ARTIFACT-V0-009	docs/specs/release-artifact-integrity-v0.md	128	`docs/extraction-manifest.json` MUST NOT be represented as release-manifest
ARTIFACT-V0-010	docs/specs/release-artifact-integrity-v0.md	133	(retired 2026-09-12 by decision 0088) Corvint MUST NOT build or publish an sdist
ASD-V0-001	docs/specs/corvint-self-development-v0.md	34	One shared repository-owned stage guide maps every inventoried family to an appl
ASD-V0-002	docs/specs/corvint-self-development-v0.md	35	Both generic host skills use the shared guide only when repository-owned instruc
ASD-V0-003	docs/specs/corvint-self-development-v0.md	36	A real source-change slice captures original task context, appropriate impact an
ASD-V0-004	docs/specs/corvint-self-development-v0.md	37	Pre-acknowledgment review inspects relevant bound frontier/0 output alongside ex
ASD-V0-005	docs/specs/corvint-self-development-v0.md	38	Reuse existing native receipts and LCP selected-check logs/report-set bindings.
ASD-V0-006	docs/specs/corvint-self-development-v0.md	39	Used means an actual retained command result with root/revision/profile/exit ide
ASD-V0-007	docs/specs/corvint-self-development-v0.md	40	Optional execution, migration, signing and service routes obey their own permiss
ASD-V0-008	docs/specs/corvint-self-development-v0.md	41	Learning closure reuses the explicit outcome; no duplicate record. A learned-mec
ASD-V0-009	docs/specs/corvint-self-development-v0.md	42	Repair feature/eval discovery and contradictory prove usage prose against existi
ASD-V0-010	docs/specs/corvint-self-development-v0.md	43	Reuse existing relevant CLI profile tests and documentation/package/spec validat
ASD-V0-011	docs/specs/corvint-self-development-v0.md	44	Demonstrate applicable routes on the actual enrolled implementation task with or
ASD-V0-012	docs/specs/corvint-self-development-v0.md	45	A future feature change updates the shared guide/status and its relevant route w
ATI-V0-001	docs/specs/authority-trigger-index-v0.md	64	The index MUST compile its triggers from backticked full-path citations of the f
ATI-V0-002	docs/specs/authority-trigger-index-v0.md	70	A trigger MUST fire only for a path the caller named. When no citation names any
ATI-V0-003	docs/specs/authority-trigger-index-v0.md	73	Every row MUST report its relation as `cites` and MUST NOT assert that the cited
ATI-V0-004	docs/specs/authority-trigger-index-v0.md	76	Every row MUST carry an evidence handle naming the citing document's path, the l
ATI-V0-005	docs/specs/authority-trigger-index-v0.md	79	Every row MUST carry the invariant-3 authority label and confidence for its citi
ATI-V0-006	docs/specs/authority-trigger-index-v0.md	82	Every row MUST report one anchor state. `pinned` and `drifted` are reserved for
ATI-V0-007	docs/specs/authority-trigger-index-v0.md	88	A citation inside a fenced code block MUST NOT produce a trigger.
ATI-V0-008	docs/specs/authority-trigger-index-v0.md	89	The table MUST be ordered deterministically by cited path, then authority rank,
ATI-V0-009	docs/specs/authority-trigger-index-v0.md	92	The table MUST be bounded by a caller limit of 1 to 50, defaulting to 20, and MU
ATI-V0-010	docs/specs/authority-trigger-index-v0.md	94	The result MUST separately name its two blind spots: every requested path the in
ATI-V0-011	docs/specs/authority-trigger-index-v0.md	97	The command MUST be read-only over repository and trace state, MUST refuse a pat
ATI-V0-012	docs/specs/authority-trigger-index-v0.md	100	The index MUST NOT be emitted through `harness event`. `GPK-V0-002` pins that
BBF-V0-001	docs/specs/browser-behavior-falsification-v0.md	34	Planning and execution are separate opt-in operations. A plan is deterministic,
BBF-V0-002	docs/specs/browser-behavior-falsification-v0.md	37	Every plan and result binds the exact contract ID/digest, criterion and assertio
BBF-V0-003	docs/specs/browser-behavior-falsification-v0.md	41	The closed control vocabulary is `wrong-locator`, `wrong-expected-value`,
BBF-V0-004	docs/specs/browser-behavior-falsification-v0.md	46	A control hook is caller-owned, content-digest pinned, argument-free and run onl
BBF-V0-005	docs/specs/browser-behavior-falsification-v0.md	52	`killed` requires the target criterion to fail on its expected assertion identit
BBF-V0-006	docs/specs/browser-behavior-falsification-v0.md	57	Each control result is exactly one of `killed`, `survived`, `not_supported`,
BBF-V0-007	docs/specs/browser-behavior-falsification-v0.md	61	Results preserve every requested ordinal and actual attempt without replacement.
BBF-V0-008	docs/specs/browser-behavior-falsification-v0.md	64	Every surviving or invalid control is an explicit criterion-level coverage gap.
BBF-V0-009	docs/specs/browser-behavior-falsification-v0.md	67	The aggregate reports raw counts for all six statuses and mutation score as
BBF-V0-010	docs/specs/browser-behavior-falsification-v0.md	70	Plans are bounded by at most 64 controls, 16 attempts per control, a 24-hour tot
BBF-V0-011	docs/specs/browser-behavior-falsification-v0.md	76	Synthetic conformance covers a tautological assertion, hidden duplicate element,
BBF-V0-012	docs/specs/browser-behavior-falsification-v0.md	79	Receipts are observations, not authenticated caller honesty, browser-behavior
BRAIN-DOG-001	docs/specs/technical-brain-dogfood.md	27	butterfly-effect MUST return exact direct static references/dependencies,
BRAIN-DOG-002	docs/specs/technical-brain-dogfood.md	30	E2E discovery MUST map requirements and journeys to exact scenario/test witnesse
BRAIN-DOG-003	docs/specs/technical-brain-dogfood.md	32	selective-test guidance MUST name mandatory repository gates first and a smaller
BRAIN-DOG-004	docs/specs/technical-brain-dogfood.md	35	onboarding MUST get a new engineer from one question to a cited architecture,
BRAIN-DOG-005	docs/specs/technical-brain-dogfood.md	38	ticket routing MUST return the likely owning scope/team, code/tests/specs, requi
BRAIN-DOG-006	docs/specs/technical-brain-dogfood.md	40	code review MUST combine exact change/CEM evidence, consequences, tests, intent,
BRAIN-DOG-007	docs/specs/technical-brain-dogfood.md	42	spec baseline MUST render ordinary Markdown with every atomic statement classifi
BRAIN-DOG-008	docs/specs/technical-brain-dogfood.md	45	migration/deprecation planning MUST enumerate exact in-repository consumers,
BRAIN-DOG-009	docs/specs/technical-brain-dogfood.md	48	release narration MUST cite every shipped claim to a revision-range fact and kee
BRAIN-DOG-010	docs/specs/technical-brain-dogfood.md	50	incident assistance MUST return matching runbooks, authority/owners, recent
BRAIN-DOG-011	docs/specs/technical-brain-dogfood.md	54	each workflow MUST expose its deterministic facts separately from semantic
BRAIN-DOG-012	docs/specs/technical-brain-dogfood.md	56	each workflow MUST ship with one frozen Corvint-on-Corvint development task and
BRAIN-DOG-013	docs/specs/technical-brain-dogfood.md	59	the suite MUST measure input-token reduction, source opens, task/review correctn
BRAIN-DOG-014	docs/specs/technical-brain-dogfood.md	62	adapters and generated views MUST be optional, removable, incrementally refreshe
BRAIN-DOG-015	docs/specs/technical-brain-dogfood.md	64	the compiled serve path MUST automatically widen across supported deterministic
BRAIN-DOG-016	docs/specs/technical-brain-dogfood.md	67	when a held-out task's labelled evidence is inside supported, authorized source
BRAIN-DOG-017	docs/specs/technical-brain-dogfood.md	70	an agent session MUST be able to emit a private, append-only working-set receipt
BRAIN-DOG-018	docs/specs/technical-brain-dogfood.md	74	checkpoint, handoff, merge, revert, and close MUST compile the working set into
BRAIN-DOG-019	docs/specs/technical-brain-dogfood.md	78	a successful verified session MAY produce a reusable minimum-witness task capsul
BRAIN-DOG-020	docs/specs/technical-brain-dogfood.md	81	PR/merge, session, CI/test, release, incident-closeout, and reconciliation
BSD-001	docs/specs/beamfall-shadow-dogfood-v1.md	20	`beamfall-shadow-dogfood/2` is a canonical, language-neutral
BSD-002	docs/specs/beamfall-shadow-dogfood-v1.md	24	`corvint-analyzer-candidate/experimental` remains the exact frozen
BSD-003	docs/specs/beamfall-shadow-dogfood-v1.md	29	Every run response and terminal receipt binds plugin ID, release,
BSD-004	docs/specs/beamfall-shadow-dogfood-v1.md	33	Manifest and artifact reads use descriptor-bound nofollow regular
BSD-005	docs/specs/beamfall-shadow-dogfood-v1.md	37	A new private `0600` receipt is emitted for every outcome after a
BSD-006	docs/specs/beamfall-shadow-dogfood-v1.md	40	Literal external fixture artifacts and source inputs exist for Go;
BSD-007	docs/specs/beamfall-shadow-dogfood-v1.md	44	The one-pass artifact byte count and non-race allocation ceiling
CATN-V0-001	docs/specs/cross-audience-truth-nondivergence-v0.md	97	Compilation MUST bind one `corvint-human-documentation-plan/0` admitted plan tha
CATN-V0-002	docs/specs/cross-audience-truth-nondivergence-v0.md	102	The compiler MUST reuse plan claims without extracting evidence, inferring
CATN-V0-003	docs/specs/cross-audience-truth-nondivergence-v0.md	104	The truth corpus MUST store each claim ID exactly once and MUST preserve the pla
CATN-V0-004	docs/specs/cross-audience-truth-nondivergence-v0.md	107	Every truth claim MUST have exactly one valid review state and currency overlay.
CATN-V0-005	docs/specs/cross-audience-truth-nondivergence-v0.md	109	A conforming bundle MUST contain exactly one projection for each of the five
CATN-V0-006	docs/specs/cross-audience-truth-nondivergence-v0.md	111	Each projection MUST reference every truth claim exactly once. Missing, duplicat
CATN-V0-007	docs/specs/cross-audience-truth-nondivergence-v0.md	113	Views MUST contain references and presentation metadata only. All views MUST bin
CATN-V0-008	docs/specs/cross-audience-truth-nondivergence-v0.md	115	Equal typed inputs MUST produce byte-identical truth digests, bundles, verificat
CATN-V0-009	docs/specs/cross-audience-truth-nondivergence-v0.md	117	Independent verification MUST require the exact source HDC plan, recompute and
CATN-V0-010	docs/specs/cross-audience-truth-nondivergence-v0.md	123	Audience MUST NOT grant access or select sensitive claims. Restricted material i
CATN-V0-011	docs/specs/cross-audience-truth-nondivergence-v0.md	125	The production package MUST perform no filesystem, Git, subprocess, network,
CATN-V0-012	docs/specs/cross-audience-truth-nondivergence-v0.md	127	V0 is bounded to 10,000 claims, 256 evidence anchors per claim, 64 limitations p
CATN-V0-013	docs/specs/cross-audience-truth-nondivergence-v0.md	134	This profile MUST NOT be presented as HDC delivery, audience usefulness,
CATN-V0-014	docs/specs/cross-audience-truth-nondivergence-v0.md	137	A `CONFLICTED` claim MUST carry at least two evidence anchors with distinct
CATN-V0-015	docs/specs/cross-audience-truth-nondivergence-v0.md	147	The truth-digest input and the canonical bundle bytes MUST be exactly the
CCF-V1-001	docs/specs/core-compatibility-freeze-v1.md	36	The Core command set MUST be exactly `init`, `adopt`, `index`, `query`, `context
CCF-V1-002	docs/specs/core-compatibility-freeze-v1.md	43	Each frozen Core mode MUST exit 0 and emit one canonical JSON document on stdout
CCF-V1-003	docs/specs/core-compatibility-freeze-v1.md	74	These modes and profiles MUST stay outside the freeze and MUST NOT be advertised
CCF-V1-004	docs/specs/core-compatibility-freeze-v1.md	84	A Core refusal MUST exit 2 with empty stdout and exactly one stderr JSON line bu
CCF-V1-005	docs/specs/core-compatibility-freeze-v1.md	95	The admission, freshness, omission and abstention members MUST keep their names,
CCF-V1-006	docs/specs/core-compatibility-freeze-v1.md	111	Breaking-change rule. For output pinned by `conformance/cli-parity-v0/manifest.j
CCF-V1-007	docs/specs/core-compatibility-freeze-v1.md	119	N-1 and migration policy. Every Core reader MUST accept the documents and state
CCF-V1-008	docs/specs/core-compatibility-freeze-v1.md	130	Root help MUST carry a `Command maturity:` section that lists the Core verbs of
CEM-CB-001	docs/specs/cem-0.2-canonical-binding.md	64	`cem/0.1` MUST remain the existing closed five-field profile. Its schema,
CEM-CB-002	docs/specs/cem-0.2-canonical-binding.md	67	canonical binding MUST use a new exact profile identifier, `cem/0.2`. A `cem/0.2
CEM-CB-003	docs/specs/cem-0.2-canonical-binding.md	70	`cem/0.2` evidence, hunk, identity, disposition, canonical JSON, size, count, pa
CEM-CB-004	docs/specs/cem-0.2-canonical-binding.md	73	a conforming consumer MUST dispatch on the exact `spec`. An upgraded Corvint
CEM-CB-005	docs/specs/cem-0.2-canonical-binding.md	77	mutation operations such as `cite` and `mark` MUST preserve the input profile an
CEM-CB-006	docs/specs/cem-0.2-canonical-binding.md	114	`excludedPath` MUST be the exact UTF-8 string `.corvint/change.cem.json`. Missin
CEM-CB-007	docs/specs/cem-0.2-canonical-binding.md	117	every fresh, replaced, or resumed 0.2 `prepare` MUST use
CEM-CB-008	docs/specs/cem-0.2-canonical-binding.md	122	at the base, `.corvint/change.cem.json` MAY be absent. If present, it is a histo
CEM-CB-009	docs/specs/cem-0.2-canonical-binding.md	126	canonical patch derivation MUST exclude exactly `.corvint/change.cem.json` using
CEM-CB-010	docs/specs/cem-0.2-canonical-binding.md	139	`cem/0.2` canonical verification MUST require caller-supplied `--expected-base`
CEM-CB-011	docs/specs/cem-0.2-canonical-binding.md	146	canonical derivation MUST use the single WP1-pinned CEM diff profile over the wh
CEM-CB-012	docs/specs/cem-0.2-canonical-binding.md	149	`corvint cem status`, `verify`, and `report` for `cem/0.2` MUST require independ
CEM-CB-013	docs/specs/cem-0.2-canonical-binding.md	154	for `cem/0.1`, `corvint cem status`, `verify`, and `report` MUST retain the hist
CEM-CB-014	docs/specs/cem-0.2-canonical-binding.md	160	`status`, `verify`, and `report` JSON MUST add exactly the three top-level
CEM-CB-015	docs/specs/cem-0.2-canonical-binding.md	167	a `cem/0.2` `status`, `verify`, or `report` invocation supplying `--patch` MUST
CEM-CB-016	docs/specs/cem-0.2-canonical-binding.md	171	a fresh or explicitly replaced `prepare` MUST emit `cem/0.2`, record the fixed
CEM-CB-017	docs/specs/cem-0.2-canonical-binding.md	194	the global `--root` MUST resolve to the exact Git worktree top level. Every Git
CEM-CB-018	docs/specs/cem-0.2-canonical-binding.md	204	primary worktrees and valid linked worktrees MUST be accepted. The requested roo
CEM-CB-019	docs/specs/cem-0.2-canonical-binding.md	214	V0 MUST reject a non-empty ambient `GIT_ALTERNATE_OBJECT_DIRECTORIES` and any
